SyncHistoryID,SyncDate,Statistic,Status,SynType
1511,"2018-09-24 04:01:31","insertWorkingTransaction: 0,
updateWorkingTransaction: 0",SUCCESS,SyncLocalToHost_WorkingTransaction
1512,"2018-09-24 04:06:31","insertAssessor: 0,
updateAssessor: 0",SUCCESS,SyncHostToLocal_Assessor
1513,"2018-09-24 04:06:31","insertRoleAssessor: 0,
updateRoleAssessor: 0",SUCCESS,SyncHostToLocal_RoleAssessor
1514,"2018-09-24 04:06:32","insertMachine: 0,
updateMachine: 0",SUCCESS,SyncHostToLocal_Machine
1515,"2018-09-24 04:06:32","insertCompany: 0,
updateCompany: 0",SUCCESS,SyncHostToLocal_Company
1516,"2018-09-24 04:06:32","insertCompanyMachine: 0,
updateCompanyMachine: 0",SUCCESS,SyncHostToLocal_CompanyMachine
1517,"2018-09-24 04:06:32","insertCompanyMachine: 0,
updateCompanyMachine: 0,
insertTools: 0,
updateTools: 0",SUCCESS,SyncHostToLocal_Tools
1518,"2018-09-24 04:06:35","insertToolsMachineTray: 0,
updateToolsMachineTray: 0",SUCCESS,SyncLocalToHost_ToolsMachineTray
1519,"2018-09-24 04:06:46","insertWorkingTransaction: 0,
updateWorkingTransaction: 0",SUCCESS,SyncLocalToHost_WorkingTransaction
1520,"2018-09-24 04:11:46","insertAssessor: 0,
updateAssessor: 0",SUCCESS,SyncHostToLocal_Assessor
1521,"2018-09-24 04:11:46","insertRoleAssessor: 0,
updateRoleAssessor: 0",SUCCESS,SyncHostToLocal_RoleAssessor
1522,"2018-09-24 04:11:47","insertMachine: 0,
updateMachine: 0",SUCCESS,SyncHostToLocal_Machine
1523,"2018-09-24 04:11:47","insertCompany: 0,
updateCompany: 0",SUCCESS,SyncHostToLocal_Company
1524,"2018-09-24 04:11:47","insertCompanyMachine: 0,
updateCompanyMachine: 0",SUCCESS,SyncHostToLocal_CompanyMachine
1525,"2018-09-24 04:11:48","insertCompanyMachine: 0,
updateCompanyMachine: 0,
insertTools: 0,
updateTools: 0",SUCCESS,SyncHostToLocal_Tools
1526,"2018-09-24 04:11:50","insertToolsMachineTray: 0,
updateToolsMachineTray: 0",SUCCESS,SyncLocalToHost_ToolsMachineTray
1527,"2018-09-24 04:12:01","insertWorkingTransaction: 0,
updateWorkingTransaction: 0",SUCCESS,SyncLocalToHost_WorkingTransaction
1528,"2018-09-24 04:17:02","insertAssessor: 0,
updateAssessor: 0",SUCCESS,SyncHostToLocal_Assessor
1529,"2018-09-24 04:17:02","insertRoleAssessor: 0,
updateRoleAssessor: 0",SUCCESS,SyncHostToLocal_RoleAssessor
1530,"2018-09-24 04:17:02","insertMachine: 0,
updateMachine: 0",SUCCESS,SyncHostToLocal_Machine
1531,"2018-09-24 04:17:02","insertCompany: 0,
updateCompany: 0",SUCCESS,SyncHostToLocal_Company
1532,"2018-09-24 04:17:02","insertCompanyMachine: 0,
updateCompanyMachine: 0",SUCCESS,SyncHostToLocal_CompanyMachine
1533,"2018-09-24 04:17:03","insertCompanyMachine: 0,
updateCompanyMachine: 0,
insertTools: 0,
updateTools: 0",SUCCESS,SyncHostToLocal_Tools
1534,"2018-09-24 04:17:05","insertToolsMachineTray: 0,
updateToolsMachineTray: 0",SUCCESS,SyncLocalToHost_ToolsMachineTray
1535,"2018-09-24 04:17:17","insertWorkingTransaction: 0,
updateWorkingTransaction: 0",SUCCESS,SyncLocalToHost_WorkingTransaction
1536,"2018-09-24 04:22:17","insertAssessor: 0,
updateAssessor: 0",SUCCESS,SyncHostToLocal_Assessor
1537,"2018-09-24 04:22:17","insertRoleAssessor: 0,
updateRoleAssessor: 0",SUCCESS,SyncHostToLocal_RoleAssessor
1538,"2018-09-24 04:22:17","insertMachine: 0,
updateMachine: 0",SUCCESS,SyncHostToLocal_Machine
1539,"2018-09-24 04:22:17","insertCompany: 0,
updateCompany: 0",SUCCESS,SyncHostToLocal_Company
1540,"2018-09-24 04:22:18","insertCompanyMachine: 0,
updateCompanyMachine: 0",SUCCESS,SyncHostToLocal_CompanyMachine
1541,"2018-09-24 04:22:18","insertCompanyMachine: 0,
updateCompanyMachine: 0,
insertTools: 0,
updateTools: 0",SUCCESS,SyncHostToLocal_Tools
1542,"2018-09-24 04:22:20","insertToolsMachineTray: 0,
updateToolsMachineTray: 0",SUCCESS,SyncLocalToHost_ToolsMachineTray
1543,"2018-09-24 04:22:35","insertWorkingTransaction: 0,
updateWorkingTransaction: 0",SUCCESS,SyncLocalToHost_WorkingTransaction
1544,"2018-09-24 04:27:36","insertAssessor: 0,
updateAssessor: 0",SUCCESS,SyncHostToLocal_Assessor
1545,"2018-09-24 04:27:36","insertRoleAssessor: 0,
updateRoleAssessor: 0",SUCCESS,SyncHostToLocal_RoleAssessor
1546,"2018-09-24 04:27:36","insertMachine: 0,
updateMachine: 0",SUCCESS,SyncHostToLocal_Machine
1547,"2018-09-24 04:27:36","insertCompany: 0,
updateCompany: 0",SUCCESS,SyncHostToLocal_Company
1548,"2018-09-24 04:27:37","insertCompanyMachine: 0,
updateCompanyMachine: 0",SUCCESS,SyncHostToLocal_CompanyMachine
1549,"2018-09-24 04:27:37","insertCompanyMachine: 0,
updateCompanyMachine: 0,
insertTools: 0,
updateTools: 0",SUCCESS,SyncHostToLocal_Tools
1550,"2018-09-24 04:27:39","insertToolsMachineTray: 0,
updateToolsMachineTray: 0",SUCCESS,SyncLocalToHost_ToolsMachineTray
1551,"2018-09-24 04:27:51","insertWorkingTransaction: 0,
updateWorkingTransaction: 0",SUCCESS,SyncLocalToHost_WorkingTransaction
1552,"2018-09-24 04:32:51","insertAssessor: 0,
updateAssessor: 0",SUCCESS,SyncHostToLocal_Assessor
1553,"2018-09-24 04:32:51","insertRoleAssessor: 0,
updateRoleAssessor: 0",SUCCESS,SyncHostToLocal_RoleAssessor
1554,"2018-09-24 04:32:52","insertMachine: 0,
updateMachine: 0",SUCCESS,SyncHostToLocal_Machine
1555,"2018-09-24 04:32:52","insertCompany: 0,
updateCompany: 0",SUCCESS,SyncHostToLocal_Company
1556,"2018-09-24 04:32:52","insertCompanyMachine: 0,
updateCompanyMachine: 0",SUCCESS,SyncHostToLocal_CompanyMachine
1557,"2018-09-24 04:32:53","insertCompanyMachine: 0,
updateCompanyMachine: 0,
insertTools: 0,
updateTools: 0",SUCCESS,SyncHostToLocal_Tools
1558,"2018-09-24 04:32:55","insertToolsMachineTray: 0,
updateToolsMachineTray: 0",SUCCESS,SyncLocalToHost_ToolsMachineTray
1559,"2018-09-24 04:33:12","insertWorkingTransaction: 0,
updateWorkingTransaction: 0",SUCCESS,SyncLocalToHost_WorkingTransaction
1560,"2018-09-24 04:38:12","insertAssessor: 0,
updateAssessor: 0",SUCCESS,SyncHostToLocal_Assessor
1561,"2018-09-24 04:38:13","insertRoleAssessor: 0,
updateRoleAssessor: 0",SUCCESS,SyncHostToLocal_RoleAssessor
1562,"2018-09-24 04:38:13","insertMachine: 0,
updateMachine: 0",SUCCESS,SyncHostToLocal_Machine
1563,"2018-09-24 04:38:13","insertCompany: 0,
updateCompany: 0",SUCCESS,SyncHostToLocal_Company
1564,"2018-09-24 04:38:13","insertCompanyMachine: 0,
updateCompanyMachine: 0",SUCCESS,SyncHostToLocal_CompanyMachine
1565,"2018-09-24 04:38:14","insertCompanyMachine: 0,
updateCompanyMachine: 0,
insertTools: 0,
updateTools: 0",SUCCESS,SyncHostToLocal_Tools
1566,"2018-09-24 04:38:16","insertToolsMachineTray: 0,
updateToolsMachineTray: 0",SUCCESS,SyncLocalToHost_ToolsMachineTray
1567,"2018-09-24 04:38:31","insertWorkingTransaction: 0,
updateWorkingTransaction: 0",SUCCESS,SyncLocalToHost_WorkingTransaction
1568,"2018-09-24 04:43:31","insertAssessor: 0,
updateAssessor: 0",SUCCESS,SyncHostToLocal_Assessor
1569,"2018-09-24 04:43:31","insertRoleAssessor: 0,
updateRoleAssessor: 0",SUCCESS,SyncHostToLocal_RoleAssessor
1570,"2018-09-24 04:43:32","insertMachine: 0,
updateMachine: 0",SUCCESS,SyncHostToLocal_Machine
1571,"2018-09-24 04:43:32","insertCompany: 0,
updateCompany: 0",SUCCESS,SyncHostToLocal_Company
1572,"2018-09-24 04:43:32","insertCompanyMachine: 0,
updateCompanyMachine: 0",SUCCESS,SyncHostToLocal_CompanyMachine
1573,"2018-09-24 04:43:33","insertCompanyMachine: 0,
updateCompanyMachine: 0,
insertTools: 0,
updateTools: 0",SUCCESS,SyncHostToLocal_Tools
1574,"2018-09-24 04:43:37","insertToolsMachineTray: 0,
updateToolsMachineTray: 0",SUCCESS,SyncLocalToHost_ToolsMachineTray
1575,"2018-09-24 04:43:49","insertWorkingTransaction: 0,
updateWorkingTransaction: 0",SUCCESS,SyncLocalToHost_WorkingTransaction
1576,"2018-09-24 04:48:49","insertAssessor: 0,
updateAssessor: 0",SUCCESS,SyncHostToLocal_Assessor
1577,"2018-09-24 04:48:49","insertRoleAssessor: 0,
updateRoleAssessor: 0",SUCCESS,SyncHostToLocal_RoleAssessor
1578,"2018-09-24 04:48:49","insertMachine: 0,
updateMachine: 0",SUCCESS,SyncHostToLocal_Machine
1579,"2018-09-24 04:48:49","insertCompany: 0,
updateCompany: 0",SUCCESS,SyncHostToLocal_Company
1580,"2018-09-24 04:48:50","insertCompanyMachine: 0,
updateCompanyMachine: 0",SUCCESS,SyncHostToLocal_CompanyMachine
1581,"2018-09-24 04:48:50","insertCompanyMachine: 0,
updateCompanyMachine: 0,
insertTools: 0,
updateTools: 0",SUCCESS,SyncHostToLocal_Tools
1582,"2018-09-24 04:48:53","insertToolsMachineTray: 0,
updateToolsMachineTray: 0",SUCCESS,SyncLocalToHost_ToolsMachineTray
1583,"2018-09-24 04:49:05","insertWorkingTransaction: 0,
updateWorkingTransaction: 0",SUCCESS,SyncLocalToHost_WorkingTransaction
1584,"2018-09-24 04:54:05","insertAssessor: 0,
updateAssessor: 0",SUCCESS,SyncHostToLocal_Assessor
1585,"2018-09-24 04:54:05","insertRoleAssessor: 0,
updateRoleAssessor: 0",SUCCESS,SyncHostToLocal_RoleAssessor
1586,"2018-09-24 04:54:05","insertMachine: 0,
updateMachine: 0",SUCCESS,SyncHostToLocal_Machine
1587,"2018-09-24 04:54:06","insertCompany: 0,
updateCompany: 0",SUCCESS,SyncHostToLocal_Company
1588,"2018-09-24 04:54:06","insertCompanyMachine: 0,
updateCompanyMachine: 0",SUCCESS,SyncHostToLocal_CompanyMachine
1589,"2018-09-24 04:54:06","insertCompanyMachine: 0,
updateCompanyMachine: 0,
insertTools: 0,
updateTools: 0",SUCCESS,SyncHostToLocal_Tools
1590,"2018-09-24 04:54:09","insertToolsMachineTray: 0,
updateToolsMachineTray: 0",SUCCESS,SyncLocalToHost_ToolsMachineTray
1591,"2018-09-24 04:54:21","insertWorkingTransaction: 0,
updateWorkingTransaction: 0",SUCCESS,SyncLocalToHost_WorkingTransaction
1592,"2018-09-24 04:59:21","insertAssessor: 0,
updateAssessor: 0",SUCCESS,SyncHostToLocal_Assessor
1593,"2018-09-24 04:59:21","insertRoleAssessor: 0,
updateRoleAssessor: 0",SUCCESS,SyncHostToLocal_RoleAssessor
1594,"2018-09-24 04:59:22","insertMachine: 0,
updateMachine: 0",SUCCESS,SyncHostToLocal_Machine
1595,"2018-09-24 04:59:22","insertCompany: 0,
updateCompany: 0",SUCCESS,SyncHostToLocal_Company
1596,"2018-09-24 04:59:22","insertCompanyMachine: 0,
updateCompanyMachine: 0",SUCCESS,SyncHostToLocal_CompanyMachine
1597,"2018-09-24 04:59:23","insertCompanyMachine: 0,
updateCompanyMachine: 0,
insertTools: 0,
updateTools: 0",SUCCESS,SyncHostToLocal_Tools
1598,"2018-09-24 04:59:25","insertToolsMachineTray: 0,
updateToolsMachineTray: 0",SUCCESS,SyncLocalToHost_ToolsMachineTray
1599,"2018-09-24 04:59:36","insertWorkingTransaction: 0,
updateWorkingTransaction: 0",SUCCESS,SyncLocalToHost_WorkingTransaction
1600,"2018-09-24 11:29:28","insertAssessor: 0,
updateAssessor: 0",SUCCESS,SyncHostToLocal_Assessor
1601,"2018-09-24 11:29:29","insertRoleAssessor: 0,
updateRoleAssessor: 0",SUCCESS,SyncHostToLocal_RoleAssessor
1602,"2018-09-24 11:29:31","insertMachine: 0,
updateMachine: 0",SUCCESS,SyncHostToLocal_Machine
1603,"2018-09-24 11:29:31","insertCompany: 0,
updateCompany: 0",SUCCESS,SyncHostToLocal_Company
1604,"2018-09-24 11:29:32","insertCompanyMachine: 0,
updateCompanyMachine: 0",SUCCESS,SyncHostToLocal_CompanyMachine
1605,"2018-09-24 11:29:33","insertCompanyMachine: 0,
updateCompanyMachine: 0,
insertTools: 0,
updateTools: 0",SUCCESS,SyncHostToLocal_Tools
1606,"2018-09-24 11:29:39","insertToolsMachineTray: 0,
updateToolsMachineTray: 0",SUCCESS,SyncLocalToHost_ToolsMachineTray
1607,"2018-09-24 11:29:59","insertWorkingTransaction: 0,
updateWorkingTransaction: 0",SUCCESS,SyncLocalToHost_WorkingTransaction
1608,"2018-09-24 11:30:02","insertAssessor: 0,
updateAssessor: 0",SUCCESS,SyncHostToLocal_Assessor
1609,"2018-09-24 11:30:03","insertRoleAssessor: 0,
updateRoleAssessor: 0",SUCCESS,SyncHostToLocal_RoleAssessor
1610,"2018-09-24 11:30:03","insertMachine: 0,
updateMachine: 0",SUCCESS,SyncHostToLocal_Machine
1611,"2018-09-24 11:30:04","insertCompany: 0,
updateCompany: 0",SUCCESS,SyncHostToLocal_Company
1612,"2018-09-24 11:30:05","insertCompanyMachine: 0,
updateCompanyMachine: 0",SUCCESS,SyncHostToLocal_CompanyMachine
1613,"2018-09-24 11:30:06","insertCompanyMachine: 0,
updateCompanyMachine: 0,
insertTools: 0,
updateTools: 0",SUCCESS,SyncHostToLocal_Tools
1614,"2018-09-24 11:30:09","insertToolsMachineTray: 0,
updateToolsMachineTray: 0",SUCCESS,SyncLocalToHost_ToolsMachineTray
1615,"2018-09-24 11:30:33","insertWorkingTransaction: 0,
updateWorkingTransaction: 0",SUCCESS,SyncLocalToHost_WorkingTransaction
1616,"2018-09-24 11:35:33","insertAssessor: 0,
updateAssessor: 0",SUCCESS,SyncHostToLocal_Assessor
1617,"2018-09-24 11:35:34","insertRoleAssessor: 0,
updateRoleAssessor: 0",SUCCESS,SyncHostToLocal_RoleAssessor
1618,"2018-09-24 11:35:34","insertMachine: 0,
updateMachine: 0",SUCCESS,SyncHostToLocal_Machine
1619,"2018-09-24 11:35:34","insertCompany: 0,
updateCompany: 0",SUCCESS,SyncHostToLocal_Company
1620,"2018-09-24 11:35:34","insertCompanyMachine: 0,
updateCompanyMachine: 0",SUCCESS,SyncHostToLocal_CompanyMachine
1621,"2018-09-24 11:35:36","insertCompanyMachine: 0,
updateCompanyMachine: 0,
insertTools: 0,
updateTools: 0",SUCCESS,SyncHostToLocal_Tools
1622,"2018-09-24 11:35:40","insertToolsMachineTray: 10,
updateToolsMachineTray: 0",SUCCESS,SyncLocalToHost_ToolsMachineTray
1623,"2018-09-24 11:36:02","insertWorkingTransaction: 15,
updateWorkingTransaction: 0",SUCCESS,SyncLocalToHost_WorkingTransaction
1624,"2018-09-24 11:41:02","insertAssessor: 0,
updateAssessor: 0",SUCCESS,SyncHostToLocal_Assessor
1625,"2018-09-24 11:41:03","insertRoleAssessor: 0,
updateRoleAssessor: 0",SUCCESS,SyncHostToLocal_RoleAssessor
1626,"2018-09-24 11:41:04","insertMachine: 0,
updateMachine: 0",SUCCESS,SyncHostToLocal_Machine
1627,"2018-09-24 11:41:04","insertCompany: 0,
updateCompany: 0",SUCCESS,SyncHostToLocal_Company
1628,"2018-09-24 11:41:04","insertCompanyMachine: 0,
updateCompanyMachine: 0",SUCCESS,SyncHostToLocal_CompanyMachine
1629,"2018-09-24 11:41:06","insertCompanyMachine: 0,
updateCompanyMachine: 0,
insertTools: 0,
updateTools: 0",SUCCESS,SyncHostToLocal_Tools
1630,"2018-09-24 11:41:09","insertToolsMachineTray: 2,
updateToolsMachineTray: 7",SUCCESS,SyncLocalToHost_ToolsMachineTray
1631,"2018-09-24 11:41:28","insertWorkingTransaction: 9,
updateWorkingTransaction: 1",SUCCESS,SyncLocalToHost_WorkingTransaction
1632,"2018-09-24 11:46:28","insertAssessor: 0,
updateAssessor: 0",SUCCESS,SyncHostToLocal_Assessor
1633,"2018-09-24 11:46:29","insertRoleAssessor: 0,
updateRoleAssessor: 0",SUCCESS,SyncHostToLocal_RoleAssessor
1634,"2018-09-24 11:46:30","insertMachine: 0,
updateMachine: 0",SUCCESS,SyncHostToLocal_Machine
1635,"2018-09-24 11:46:31","insertCompany: 0,
updateCompany: 0",SUCCESS,SyncHostToLocal_Company
1636,"2018-09-24 11:46:32","insertCompanyMachine: 0,
updateCompanyMachine: 0",SUCCESS,SyncHostToLocal_CompanyMachine
1637,"2018-09-24 11:46:34","insertCompanyMachine: 0,
updateCompanyMachine: 0,
insertTools: 0,
updateTools: 0",SUCCESS,SyncHostToLocal_Tools
1638,"2018-09-24 11:46:40","insertToolsMachineTray: 1,
updateToolsMachineTray: 2",SUCCESS,SyncLocalToHost_ToolsMachineTray
1639,"2018-09-24 11:46:58","insertWorkingTransaction: 11,
updateWorkingTransaction: 0",SUCCESS,SyncLocalToHost_WorkingTransaction
1640,"2018-09-24 11:52:01","insertAssessor: 0,
updateAssessor: 0",SUCCESS,SyncHostToLocal_Assessor
1641,"2018-09-24 11:52:02","insertRoleAssessor: 0,
updateRoleAssessor: 0",SUCCESS,SyncHostToLocal_RoleAssessor
1642,"2018-09-24 11:52:02","insertMachine: 0,
updateMachine: 0",SUCCESS,SyncHostToLocal_Machine
1643,"2018-09-24 11:52:08","insertCompany: 0,
updateCompany: 0",SUCCESS,SyncHostToLocal_Company
1644,"2018-09-24 11:52:11","insertCompanyMachine: 0,
updateCompanyMachine: 0",SUCCESS,SyncHostToLocal_CompanyMachine
1645,"2018-09-24 11:52:14","insertCompanyMachine: 0,
updateCompanyMachine: 0,
insertTools: 0,
updateTools: 0",SUCCESS,SyncHostToLocal_Tools
1646,"2018-09-24 11:52:17","insertToolsMachineTray: 10,
updateToolsMachineTray: 1",SUCCESS,SyncLocalToHost_ToolsMachineTray
1647,"2018-09-24 11:52:44","insertWorkingTransaction: 17,
updateWorkingTransaction: 1",SUCCESS,SyncLocalToHost_WorkingTransaction
1648,"2018-09-24 11:57:44","insertAssessor: 0,
updateAssessor: 0",SUCCESS,SyncHostToLocal_Assessor
1649,"2018-09-24 11:57:45","insertRoleAssessor: 0,
updateRoleAssessor: 0",SUCCESS,SyncHostToLocal_RoleAssessor
1650,"2018-09-24 11:57:45","insertMachine: 0,
updateMachine: 0",SUCCESS,SyncHostToLocal_Machine
1651,"2018-09-24 11:57:45","insertCompany: 0,
updateCompany: 0",SUCCESS,SyncHostToLocal_Company
1652,"2018-09-24 11:57:47","insertCompanyMachine: 0,
updateCompanyMachine: 0",SUCCESS,SyncHostToLocal_CompanyMachine
1653,"2018-09-24 11:57:48","insertCompanyMachine: 0,
updateCompanyMachine: 0,
insertTools: 0,
updateTools: 0",SUCCESS,SyncHostToLocal_Tools
1654,"2018-09-24 11:57:53","insertToolsMachineTray: 0,
updateToolsMachineTray: 10",SUCCESS,SyncLocalToHost_ToolsMachineTray
1655,"2018-09-24 11:58:16","insertWorkingTransaction: 9,
updateWorkingTransaction: 0",SUCCESS,SyncLocalToHost_WorkingTransaction
1656,"2018-09-24 12:03:17","insertAssessor: 0,
updateAssessor: 0",SUCCESS,SyncHostToLocal_Assessor
1657,"2018-09-24 12:03:18","insertRoleAssessor: 0,
updateRoleAssessor: 0",SUCCESS,SyncHostToLocal_RoleAssessor
1658,"2018-09-24 12:03:19","insertMachine: 0,
updateMachine: 0",SUCCESS,SyncHostToLocal_Machine
1659,"2018-09-24 12:03:19","insertCompany: 0,
updateCompany: 0",SUCCESS,SyncHostToLocal_Company
1660,"2018-09-24 12:03:20","insertCompanyMachine: 0,
updateCompanyMachine: 0",SUCCESS,SyncHostToLocal_CompanyMachine
1661,"2018-09-24 12:03:21","insertCompanyMachine: 0,
updateCompanyMachine: 0,
insertTools: 0,
updateTools: 0",SUCCESS,SyncHostToLocal_Tools
1662,"2018-09-24 12:03:24","insertToolsMachineTray: 0,
updateToolsMachineTray: 0",SUCCESS,SyncLocalToHost_ToolsMachineTray
1663,"2018-09-24 12:03:42","insertWorkingTransaction: 0,
updateWorkingTransaction: 0",SUCCESS,SyncLocalToHost_WorkingTransaction
1664,"2018-09-24 12:08:49","insertAssessor: 0,
updateAssessor: 0",SUCCESS,SyncHostToLocal_Assessor
1665,"2018-09-24 12:08:53","insertRoleAssessor: 0,
updateRoleAssessor: 0",SUCCESS,SyncHostToLocal_RoleAssessor
1666,"2018-09-24 12:08:54","insertMachine: 0,
updateMachine: 0",SUCCESS,SyncHostToLocal_Machine
1667,"2018-09-24 12:08:56","insertCompany: 0,
updateCompany: 0",SUCCESS,SyncHostToLocal_Company
1668,"2018-09-24 12:08:56","insertCompanyMachine: 0,
updateCompanyMachine: 0",SUCCESS,SyncHostToLocal_CompanyMachine
1669,"2018-09-24 12:08:58","insertCompanyMachine: 0,
updateCompanyMachine: 0,
insertTools: 0,
updateTools: 0",SUCCESS,SyncHostToLocal_Tools
1670,"2018-09-24 12:09:03","insertToolsMachineTray: 0,
updateToolsMachineTray: 0",SUCCESS,SyncLocalToHost_ToolsMachineTray
